nBC,Ins,RH,s,t,avPriceFP0,avPriceFP100,avPriceFP500,avPriceCoastFront,nB,nS,nNC,nOS,nOB,nBL,nT,dBS
0.7,0,1,11,33,167954.38166189,183329.58898305,143426.12980769,304680.19565217,2445,909,222,74,2168,19,249,1536
0.7,0,1,11,34,166763.38108883,182453.1059322,142436.51442308,303804.93478261,2489,895,234,66,2201,12,244,1594
0.7,0,1,11,35,165283.08997135,180855.75,141246.40865385,301852.15217391,2556,895,253,67,2251,15,238,1661
0.7,0,1,11,36,163458.11575931,178285.80084746,140049.21153846,297764.95652174,2636,903,258,76,2313,11,243,1733
0.7,0,1,11,37,161449.40974212,175331.88983051,138679.62019231,292922.89130435,2696,953,237,74,2389,4,247,1743
0.7,0,1,11,38,160027.9495702,172977.55084746,135778.42788462,288669.13043478,2756,961,234,88,2443,9,253,1795
0.7,0,1,11,39,157990.95931232,170194.99576271,133939.64423077,285205.10869565,2797,955,234,74,2500,11,256,1842
0.7,0,1,11,40,156861.96676218,169067.31355932,132788.18269231,283829.68478261,2845,1004,225,82,2555,17,242,1841
0.7,0,1,11,41,155272.07335244,166883.6440678,131418.21634615,280137.57608696,2900,1021,250,73,2598,21,247,1879
0.7,0,1,11,42,154266.83782235,165313.78813559,129995.32692308,277651.91304348,2951,1032,234,79,2650,12,250,1919
0.7,0,1,11,43,153148.5226361,164526.68220339,128932.92307692,278074.13043478,3012,1046,263,78,2697,26,254,1966
0.7,0,1,11,44,152520.23610315,164115.75423729,128923.49519231,277542.61956522,3066,1039,253,96,2735,18,277,2027
0.7,0,1,11,45,151798.73237822,162922.81779661,128148.06730769,277048.77173913,3115,1042,238,84,2796,3,270,2073
0.7,0,1,11,46,150865.65959885,162108.51694915,128176.07211538,276704.90217391,3173,1004,252,84,2844,7,271,2169
0.7,0,1,11,47,151131.83954155,162303.27118644,128322.90865385,277658.52173913,3192,1000,231,87,2907,33,266,2192
0.7,0,1,11,48,150391.64469914,161191.16101695,127278.78365385,276898.5,3217,1006,254,78,2912,27,280,2211
0.7,0,1,11,49,149741.63209169,160073.77966102,126641.55288462,275643.73913043,3280,1003,239,83,2967,9,250,2277
0.7,0,1,11,50,148613.98510029,159111.19915254,125363.80288462,274263.57608696,3307,983,223,70,3018,4,262,2324
0.7,0,1,11,51,147456.83667622,158238.52118644,124379.88461538,273809.08695652,3388,988,260,71,3058,1,249,2400
0.7,0,1,11,52,146501.33868195,157195.56779661,123276.30769231,272769.75,3423,982,230,79,3129,15,259,2441
0.7,0,1,11,53,145676.4974212,156040.55508475,122654.09615385,271342.7173913,3482,968,258,76,3162,14,261,2514
0.7,0,1,11,54,145073.53810888,155326.27542373,121837,270215.39130435,3537,972,241,70,3232,6,250,2565
0.7,0,1,11,55,143810.05616046,154339.94491525,121054.45192308,268583.59782609,3599,957,251,71,3281,4,256,2642
0.7,0,1,11,56,142710.8286533,153264.83474576,120076.65384615,266160.5,3650,964,251,75,3346,22,253,2686
0.7,0,1,11,57,142051.68137536,152508.85169492,119683.95673077,265083.98913043,3729,1020,253,76,3412,12,238,2709
0.7,0,1,11,58,140991.76848138,151346.62288136,118961.99038462,263584.14130435,3773,1057,234,79,3465,5,264,2716
0.7,0,1,11,59,139687.83495702,150404.81355932,118259.81730769,262338.98913043,3835,1069,248,68,3534,15,239,2766
0.7,0,1,11,60,138330.20057307,148972.84745763,116755.74519231,260345.4673913,3879,1079,244,81,3577,23,258,2800
0.7,0,1,11,61,136719.31919771,147379.42372881,115509.94230769,257955.02173913,3953,1042,264,98,3614,23,265,2911
0.7,0,1,11,62,135037.18510029,146123.43220339,114516.57211538,255760.2173913,3945,1024,262,92,3655,64,298,2921
0.7,0,1,11,63,133767.44297994,145262.8559322,114046.87019231,253986.51086957,3981,951,237,105,3673,34,272,3030
0.7,0,1,11,64,132401.27449857,144185.38559322,113355.99038462,252491.33695652,4046,921,253,85,3715,7,266,3125
0.7,0,1,11,65,131741.09111748,142967.45762712,112730.34134615,251538.31521739,4095,897,249,81,3773,8,273,3198
0.7,0,1,11,66,131847.87851003,142964.74152542,112816.75961538,252443.91304348,4136,916,250,71,3830,15,265,3220
0.7,0,1,11,67,131765.65730659,143054.96610169,112795.15384615,253146.36956522,4189,926,256,72,3876,15,260,3263
0.7,0,1,11,68,131750.6017192,142942.02118644,112881.97115385,252938.35869565,4246,950,247,68,3937,6,252,3296
0.7,0,1,11,69,131729.79713467,143306.02966102,113141.55288462,253347.07608696,4316,947,264,79,3977,4,269,3369
0.7,0,1,11,70,131903.11747851,143195.39830508,113051.86057692,254227.08695652,4343,955,239,81,4050,27,266,3388
0.7,0,1,11,71,131929.73982808,143397.09322034,112924.64903846,254982.5,4370,965,245,84,4073,32,270,3405
0.7,0,1,11,72,131619.63094556,143056.07627119,112571.5625,255312.85869565,4425,947,261,87,4087,10,283,3478
0.7,0,1,11,73,131264.79312321,142629.05508475,111853.73076923,254723.77173913,4477,994,259,71,4175,28,250,3483
0.7,0,1,11,74,131056.4286533,142669.77542373,111203.48557692,254933.57608696,4524,986,258,87,4188,9,289,3538
0.7,0,1,11,75,130556.60744986,142538.79661017,110757.86057692,254872.77173913,4582,974,253,95,4239,5,285,3608
0.7,0,1,11,76,130245.79255014,142270.79661017,110345,255540.33695652,4637,927,245,92,4308,8,274,3710
0.7,0,1,11,77,130057.73524355,142275.00847458,110257.57692308,256164.39130435,4672,909,240,97,4354,19,283,3763
0.7,0,1,11,78,130247.05558739,142597.10169492,110643.76923077,257747.95652174,4712,886,246,92,4402,28,270,3826
0.7,0,1,11,79,130537.98280802,142647.02966102,110830.00480769,259235.38043478,4723,891,246,72,4447,42,265,3832
0.7,0,1,11,80,130158.69340974,142318.97033898,110377.19230769,258984.90217391,4752,898,246,78,4443,15,280,3854
0.7,0,1,11,81,130491.39713467,142506.11016949,110431.93269231,260205.81521739,4800,906,244,74,4488,6,264,3894
0.7,0,1,11,82,130358.37936963,142307.18644068,110081.3125,260563.05434783,4877,905,263,84,4535,5,265,3972
0.7,0,1,11,83,130734.26246418,142739.46186441,110127.37980769,262266.66304348,4928,908,239,79,4614,4,263,4020
0.7,0,1,11,84,131018.64527221,142794.84745763,110335.13461538,263374.91304348,4964,899,246,87,4642,11,286,4065
0.7,0,1,11,85,131645.08882521,143246.02966102,110916.37980769,266156.73913043,5012,863,253,66,4700,7,264,4149
0.7,0,1,11,86,131962.55358166,143608.18644068,111291.77403846,267031.33695652,5065,840,251,67,4753,6,259,4225
0.7,0,1,11,87,131946.48481375,143675.59745763,111439.25961538,268614.34782609,5120,833,237,88,4800,5,265,4287
0.7,0,1,11,88,131821.29971347,143789.94915254,111393.44711538,269915.45652174,5174,828,243,88,4848,5,272,4346
0.7,0,1,11,89,132067.31461318,144299.19067797,111251.74038462,271913.98913043,5153,854,214,75,4916,52,258,4299
0.7,0,1,11,90,132098.05157593,144778.19491525,111062.33173077,274153.5,5168,910,259,79,4896,66,257,4258
